Num ej	Tamaño	Tiempo(sec)		Media OB		Min OB	Max OB
1)	10	1.9050000000e-07	2.9000000000e+00	1	4	
2)	20	1.7375000000e-07	3.7000000000e+00	1	5	
3)	30	1.9276666667e-07	4.1333333333e+00	1	5	
4)	40	2.1277500000e-07	4.5750000000e+00	1	6	
5)	50	1.9708000000e-07	4.8600000000e+00	1	6	
6)	60	1.9483333333e-07	5.0500000000e+00	1	6	
7)	70	1.8881428571e-07	5.2857142857e+00	1	7	
8)	80	1.9222500000e-07	5.5000000000e+00	1	7	
9)	90	1.8926666667e-07	5.6666666667e+00	1	7	
10)	100	1.8800000000e-07	5.8000000000e+00	1	7	
